安堵	an1 du3
安度	an1 du4
安敦	an1 dun1
安頓	an1 dun4
媕婀	an1 e1
安放	an1 fang4
安分	an1 fen4
諳分	an1 fen4
安伏	an1 fu2
安撫	an1 fu3
安富	an1 fu4
安骨	an1 gu3
安固	an1 gu4
庵觀	an1 guan4
安廣	an1 guang3
安好	an1 hao3
安和	an1 he2
安胡	an1 hu2
安跡	an1 ji1
安輯	an1 ji2
安集	an1 ji2
安家	an1 jia1
鞍甲	an1 jia3
鞍韉	an1 jian1
安靖	an1 jing4
安靜	an1 jing4
安居	an1 ju1
安康	an1 kang1
安可	an1 ke3
安瀾	an1 lan2
菴婪	an1 lan2
安樂	an1 le4
諳歷	an1 li4
諳練	an1 lian4
安良	an1 liang2
安陵	an1 ling2
安靈	an1 ling2
菴廬	an1 lu2
鞍馬	an1 ma3
安曼	an1 man4
安門	an1 men2
安謐	an1 mi4
安眠	an1 mian2
安民	an1 min2
安命	an1 ming4
安南	an1 nan2
安難	an1 nan4
安內	an1 nei4
安能	an1 neng2
安寧	an1 ning2
安排	an1 pai2
安培	an1 pei2
鞍轡	an1 pei4
安貧	an1 pin2
安普	an1 pu3
氨氣	an1 qi4
安寢	an1 qin3
安全	an1 quan2
安然	an1 ran2
安人	an1 ren2
鞍山	an1 shan1
安上	an1 shang5
安設	an1 she4
菴舍	an1 she4
安身	an1 shen1
安神	an1 shen2
安生	an1 sheng1
安聲	an1 sheng1
安適	an1 shi4
諳事	an1 shi4
氨水	an1 shui3
安睡	an1 shui4
安死	an1 si3
庵寺	an1 si4
安宿	an1 su4
安泰	an1 tai4
庵堂	an1 tang2
安帖	an1 tie1
安童	an1 tong2
安土	an1 tu3
安妥	an1 tuo3
安危	an1 wei2
安慰	an1 wei4
安穩	an1 wen3
安席	an1 xi2
安息	an1 xi2
諳習	an1 xi2
安下	an1 xia4
安閒	an1 xian2
安香	an1 xiang1
安詳	an1 xiang2
安歇	an1 xie1
安心	an1 xin1
安雅	an1 ya3
安養	an1 yang3
安業	an1 ye4
安逸	an1 yi4
安營	an1 ying2
安輿	an1 yu2
安在	an1 zai4
腤䐶	an1 zan1
安葬	an1 zang4
安扎	an1 zha2
安宅	an1 zhe4
安枕	an1 zhen3
安置	an1 zhi4
庵主	an1 zhu3
安住	an1 zhu4
安裝	an1 zhuang1
安着	an1 zhuo2
鞍子	an1 zi5
安足	an1 zu2
安坐	an1 zuo4
安座	an1 zuo4
啽默	an2 mo4
啽囈	an2 yi4
晻藹	an3 ai3
晻靄	an3 ai3
晻晻	an3 an3
俺家	an3 jia1
晻昧	an3 mei4
俺每	an3 mei5
俺們	an3 men5
晻世	an3 shi4
晻翳	an3 yi4
匼匝	an3 za1
俺咱	an3 za2
唵噆	an3 zan3
暗藹	an4 ai3
菴藹	an4 ai3
暗暗	an4 an4
菴菴	an4 an4
韽韽	an4 an4
黯黯	an4 an4
案板	an4 ban3
案比	an4 bi3
岸邊	an4 bian1
岸標	an4 biao1
按兵	an4 bing1
案兵	an4 bing1
案伯	an4 bo2
案部	an4 bu4
黯慘	an4 can3
暗藏	an4 cang2
按察	an4 cha2
暗娼	an4 chang1
暗場	an4 chang2
暗潮	an4 chao2
案秤	an4 cheng4
暗處	an4 chu4
按次	an4 ci4
暗忖	an4 cun3
暗袋	an4 dai4
暗淡	an4 dan4
暗澹	an4 dan4
黯淡	an4 dan4
暗道	an4 dao4
暗地	an4 di4
按調	an4 diao4
暗鬥	an4 dou4
案牘	an4 du2
暗房	an4 fang2
暗訪	an4 fang3
案奉	an4 feng4
暗付	an4 fu4
暗槓	an4 gang4
暗溝	an4 gou1
暗害	an4 hai4
暗含	an4 han2
暗行	an4 hang2
暗號	an4 hao4
暗合	an4 he2
岸忽	an4 hu1
暗疾	an4 ji2
暗計	an4 ji4
暗記	an4 ji4
按劍	an4 jian4
按鍵	an4 jian4
暗箭	an4 jian4
案件	an4 jian4
暗礁	an4 jiao1
案節	an4 jie2
按酒	an4 jiu3
暗九	an4 jiu3
案酒	an4 jiu3
案據	an4 ju4
案卷	an4 juan4
鮟鱇	an4 kang1
暗釦	an4 kou4
按理	an4 li3
暗裏	an4 li3
按例	an4 li4
案例	an4 li4
暗戀	an4 lian4
闇劣	an4 lie4
暗流	an4 liu2
闇亂	an4 luan4
暗碼	an4 ma3
按脈	an4 mai4
暗昧	an4 mei4
暗門	an4 men2
按摩	an4 mo2
案目	an4 mu4
闇莫	an4 mu4
按捺	an4 na4
按納	an4 na4
按鈕	an4 niu3
暗盤	an4 pan2
按轡	an4 pei4
按期	an4 qi2
暗器	an4 qi4
暗泣	an4 qi4
闇淺	an4 qian3
案情	an4 qing2
岸然	an4 ran2
闇然	an4 ran2
黯然	an4 ran2
按日	an4 ri4
闇弱	an4 ruo4
暗色	an4 se4
按殺	an4 sha1
暗殺	an4 sha1
暗傷	an4 shang1
暗射	an4 she4
按時	an4 shi2
暗事	an4 shi4
暗室	an4 shi4
暗示	an4 shi4
案事	an4 shi4
按手	an4 shou3
案首	an4 shou3
按說	an4 shuo1
闇誦	an4 song4
暗算	an4 suan4
暗鎖	an4 suo3
暗灘	an4 tan1
黯黮	an4 tan3
暗探	an4 tan4
按討	an4 tao3
闇跳	an4 tiao4
案頭	an4 tou2
按問	an4 wen4
案問	an4 wen4
暗喜	an4 xi3
按下	an4 xia4
暗箱	an4 xiang1
暗香	an4 xiang1
暗想	an4 xiang3
暗笑	an4 xiao4
暗虛	an4 xu1
按壓	an4 ya1
案衍	an4 yan3
按驗	an4 yan4
案驗	an4 yan4
按音	an4 yin1
按鷹	an4 ying1
暗影	an4 ying3
案由	an4 you2
按語	an4 yu3
暗語	an4 yu3
案語	an4 yu3
岸獄	an4 yu4
暗喻	an4 yu4
案元	an4 yuan2
按月	an4 yue4
岸幘	an4 ze2
案長	an4 zhang3
按照	an4 zhao4
暗中	an4 zhong1
暗轉	an4 zhuan3
暗樁	an4 zhuang1
案准	an4 zhun3
案桌	an4 zhuo1
暗自	an4 zi4
案子	an4 zi5
腌臢	ang1 za5
腌䐶	ang1 zang1
腌臢	ang1 zang1
骯髒	ang1 zang1
卬卬	ang2 ang2
昂昂	ang2 ang2
昂藏	ang2 cang2
昂貴	ang2 gui4
昂然	ang2 ran2
昂首	ang2 shou3
昂揚	ang2 yang2
卬燥	ang2 zao4
盎盎	ang4 ang4
盎然	ang4 ran2
盎司	ang4 si1
凹版	ao1 ban3
熬菜	ao1 cai4
凹地	ao1 di4
熬惱	ao1 nao3
熬膩	ao1 ni4
坳堂	ao1 tang2
坳塘	ao1 tang2
熬頭	ao1 tou5
凹凸	ao1 tu2
凹下	ao1 xia4
凹陷	ao1 xian4
熬心	ao1 xin1
凹狀	ao1 zhuang4
嗷嗷	ao2 ao2
敖敖	ao2 ao2
謷謷	ao2 ao2
鼇拜	ao2 bai4
敖包	ao2 bao1
鼇抃	ao2 bian4
鏖兵	ao2 bing1
嗷嘈	ao2 cao2
敖曹	ao2 cao2
謷醜	ao2 chou3
鼇戴	ao2 dai4
敖盪	ao2 dang4
驁放	ao2 fang4
鼇峰	ao2 feng1
熬膏	ao2 gao1
熬煎	ao2 jian1
熬煉	ao2 lian4
熬磨	ao2 mo5
獒犬	ao2 quan3
嗷騷	ao2 sao1
