一分貨	yi1 fen1 huo4
一分錢	yi1 fen1 qian2
一切	yi1 qie4
一切從簡	yi1 qie4 cong2 jian3
一切現成	yi1 qie4 xian4 cheng2
一切經音義	yi1 qie4 jing1 yin1 yi4
一切衆生	yi1 qie4 zhong4 sheng1
一到處	yi1 dao4 chu4
一制性資源定位法	yi1 zhi4 xing4 zi1 yuan2 ding4 wei4 fa3
一刻	yi1 ke4
一刻千金	yi1 ke4 qian1 jin1
一則	yi1 ze2
一則以喜	yi1 ze2 yi3 xi3
一則以懼	yi1 ze2 yi3 ju4
一剎那	yi1 cha4 na4
一剗	yi1 chan4
一副	yi1 fu4
一力	yi1 li4
一力承當	yi1 li4 cheng2 dang1
一勇之夫	yi1 yong3 zhi1 fu1
一動不如一靜	yi1 dong4 bu4 ru2 yi1 jing4
一勞久逸	yi1 lao2 jiu3 yi4
一勞永逸	yi1 lao2 yong3 yi4
一包眼淚	yi1 bao1 yan3 lei4
一匡天下	yi1 kuang1 tian1 xia4
一匹錦	yi1 pi3 jin3
一千零一夜	yi1 qian1 ling2 yi1 ye4
一半	yi1 ban4
一去不復返	yi1 qu4 bu4 fu4 fan3
一去不返	yi1 qu4 bu4 fan3
一反常態	yi1 fan3 chang2 tai4
一口	yi1 kou3
一口中	yi1 kou3 zhong1
一口價兒	yi1 kou3 jiar4
一口兩匙	yi1 kou3 liang3 chi2
一口吃個胖子	yi1 kou3 chi1 ge5 pang4 zi5
一口吸盡西江水	yi1 kou3 xi1 jin4 xi1 jiang1 shui3
一口咬定	yi1 kou3 yao3 ding4
一口咬死	yi1 kou3 yao3 si3
一口氣	yi1 kou3 qi4
一口鐘	yi1 kou3 zhong1
一口飯	yi1 kou3 fan4
一古腦兒	yi1 gu3 naor3
一同	yi1 tong2
一名	yi1 ming2
一名半職	yi1 ming2 ban4 zhi2
一吐爲快	yi1 tu3 wei2 kuai4
一向	yi1 xiang4
一吹一唱	yi1 chui1 yi1 chang4
一味	yi1 wei4
一味禪	yi1 wei4 chan2
一呼再諾	yi1 hu1 zai4 nuo4
一呼百應	yi1 hu1 bai3 ying4
一呼百諾	yi1 hu1 bai3 nuo4
一命	yi1 ming4
一命嗚呼	yi1 ming4 wu1 hu1
一和	yi1 he2
一品	yi1 pin3
一品紅	yi1 pin3 hong2
一品鍋	yi1 pin3 guo1
一哄而上	yi1 hong1 er2 shang4
一哄而散	yi1 hong1 er2 san4
一哄而起	yi1 hong1 er2 qi3
一哄而集	yi1 hong1 er2 ji2
一唱一和	yi1 chang4 yi1 he4
一唱三歎	yi1 chang4 san1 tan4
一唱百和	yi1 chang4 bai3 he4
一問三不知	yi1 wen4 san1 bu4 zhi1
