䰖兒	zuar3
冷竈上着一把兒	leng3 zao4 shang4 zhao2 yi1 bar3 re4
冷酒兒後犯	leng3 jiur3 hou4 fan4
凹心臉兒	wa4 xin1 liar3
出圈兒	chu1 quar1
出岔兒	chu1 char4
出數兒	chu1 shur4
出溜兒	chu1 liur5
出花兒	chu1 huar1
出頭椽兒先朽爛	chu1 tou2 chuar2 xian1 xiu3 lan4
刀把兒	dao1 bar4
刀靶兒	dao1 bar3
刃兒	rer4
分兒	fer4
分頭兒	fen1 tour2
利齒兒	li4 chir3
刺兒頭	car4 tou2
前兒	qiar2
前兒個	qiar2 ge5
前後腳兒	qian2 hou4 jiaor3
剩湯臘水兒	sheng4 tang1 la4 shuer3
剩頭兒	sheng4 tour2
割貓兒尾拌貓兒飯	ge1 maor1 wei3 ban4 maor1 fan4
劈角兒	pi1 jiaor3
劉九兒	liu2 jiur3
力巴兒	li4 bar5
力把兒頭	li4 bar5 tou2
加楔兒	jia1 xier4
加鹽兒	jia1 yar2
努勁兒	nu3 jier4
動秤兒的	dong4 chengr4 de5
包元兒	bao1 yuar2
包兒	baor1
包圓兒	bao1 yuar2
包涵兒	bao1 har5
包袱底兒	bao1 fu5 dier3
匹角兒	pi1 jiaor3
半些兒	ban4 xier1
半包兒	ban4 baor1
半合兒	ban4 her2
半截門兒	ban4 jie2 mer2
半抄兒	ban4 chaor1
半瘋兒	ban4 fengr1
半癱兒	ban4 tar1
半米兒	ban4 mier3
半道兒	ban4 daor4
半道兒認姐姐	ban4 daor4 ren4 jie3 jie5
博古兒	bo2 gur3
占場兒	zhan4 changr2
卦攤兒	gua4 tar1
印板兒	yin4 bar3
即早兒	ji2 zaor3
又要馬兒不吃草	yao4 mar3 bu4 chi1 cao3
又要馬兒好	you4 yao4 mar3 hao3 you4
反文兒	fan3 wer2
反犬旁兒	fan3 quan3 pangr2
反磕兒	fan3 ker1
取燈兒	qu3 dengr1
口兒	kour3
古今兒	gu3 jier1
古記兒	gu3 jier4
吃了蜜蜂兒屎似的	chi1 le5 mi4 fengr1 shi3 si4 de5
吃人兒的	chi1 rer2 de5
吃兒	cher1
吃味兒	chi1 wer4
吃喝兒	chi1 her5
吃墨船兒	chi1 mo4 chuanr2
吃掛絡兒	chi1 gua4 laor4
吃瓦片兒	chi1 wa3 piar4
吃生米兒的	chi1 sheng1 mier3 de5
吃瞪眼兒食	chi1 deng4 yar3 shi2
吃紅白口兒	chi1 hong2 bai2 kour3
吃黑棗兒	chi1 hei1 zaor3
各人兒洗面兒各人兒光	ge4 rer2 xi3 miar4 ge4 rer2 guang1
各肉兒各疼	ge4 rour4 ge4 teng2
合兒	her2
合意兒	he2 yer4
吊兒郎當	diaor4 lang2 dang1
吊子曰兒	diao4 zi3 yuer1
吊腳兒	diao4 jiaor3
同心方勝兒	tong2 xin1 fang1 shengr4
名兒	mingr2
吹燈兒	chui1 dengr1
吹糖人兒	chui1 tang2 rer2
呱嗒板兒	gua1 da5 bar3
味兒	wer4
咂兒	zar1
咬人的狗兒不露齒	yao3 ren2 de5 gour3 bu4 lou4 chi3
咬字兒	yao3 zer4
咬字眼兒	yao3 zi4 yar3
