䰖兒	zuar3
杏乾兒	xing4 gar1
杏核兒	xing4 her2
東兒	dongr1
東坡椅兒	dong1 po1 yer3
東淨裏的磚兒	dong1 jing4 li3 de5 zhuar1
板兒	bar3
板兒車	bar3 che1
果兒	guor3
果子乾兒	guo3 zi5 gar1
果料兒	guo3 liaor4
果碟兒	guo3 dier2
枝兒	zher1
架兒	jiar4
柳葉兒	liu3 yer4
柴心兒	chai2 xier1
根兒	ger1
根兒底下	ger1 di3 xia5
格磴兒	ge2 dengr4
桌面兒上	zhuo1 miar4 shang4
桿兒	gar3
桿兒上的	gar3 shang4 de5
梆兒頭	bangr1 tou2
條兒	tiaor2
梨乾兒	li2 gar1
棉猴兒	mian2 hour2
棍兒茶	guer4 cha2
棒兒香	bangr4 xiang1
楊葉竄兒	yang2 ye4 cuar4
槽兒	caor2
樁兒	zhuangr1
樂兒	ler4
樂紋兒	le4 wer2
標兒	biaor1
標勁兒	biao1 jier4
模特兒	mo2 ter4
樹涼兒	shu4 liangr2
樹的影兒	de5 yingr3
機伶變兒	ji1 ling5 biar4
機伶鬼兒	ji1 ling5 guer3
橫打鼻梁兒	heng2 da3 bi2 liangr2
橫撐船兒	heng2 cheng1 chuar2
橫枝兒	heng2 zher1
櫃面兒	gui4 miar4
櫳門兒	long2 mer2
欠肚兒親家	qian4 dur4 qin1 jia1
款兒	kuar3
歇會兒	xie1 huer3
歡喜錢兒	huan1 xi5 qiar2
步碾兒	bu4 niar3
步輦兒	bu4 niar3
死心眼兒	si3 xin1 yar3
死摳兒	si3 kour1
死水兒	si3 shuer3
死膛兒	si3 tangr2
死規矩兒	si3 gui1 juer5
母兒	mur3
毛司火性兒	mao2 si5 huo3 xingr4
毛司裏磚兒	mao2 si5 li3 zhuar1
毛廁裏磚兒	mao2 si5 li3 zhuar1
氅衣兒	chang3 yer5
水撲花兒	shui3 pu1 huar1
水火籃兒	shui3 huo3 lar2
水牛兒	shui3 niur2
水花兒	shui3 huar1
水蔥兒似的	shui3 congr1 si4 de5
水音兒	shui3 yer1
水頭兒	shui3 tour5
汁兒	zher1
汗巾兒	han4 jier5
汗絡兒	han4 laor4
汗褂兒	han4 guar4
汗褟兒	han4 tar1
沃果兒	wo4 guor3
沒主兒	mei2 zhur3
沒個裏兒表兒	mei2 ge5 lier3 biaor3
沒合眼兒	mei2 he2 yar3
沒味兒	mei2 wer4
沒嘴道兒	mei2 zui3 daor4
沒地兒	mei2 dier4
沒地縫兒鑽進去	mei2 di4 fengr4 zuan1 jin4 qu4
沒子兒	mei2 zer3
沒底兒	mei2 dier3
沒影兒	mei2 yingr3
沒影的話兒	mei2 ying3 de5 huar4
沒得空兒	mei2 de5 kongr4
沒意兒	mei2 yer4
沒捆兒	mei2 kuer3
沒有影兒	mei2 you3 yingr3
沒有準兒	mei2 you3 zhuer3
沒棱縫兒	mei2 leng2 fengr4
沒準兒	mei2 zhuer3
沒溜兒	mei2 liur4
沒牙虎兒	mei2 ya2 hur3
沒縫兒	mei2 fengr4
沒落兒	mei2 laor4
沒詞兒	mei2 cer2
沒這個店兒	zhe4 ge4 diar4
沒那金剛鑽兒	mei2 na4 jin1 gang1 zuar4 ye3
沙淺兒	sha1 qiar3
沙瓤兒	sha1 rangr2
沙肝兒	sha1 gar1
油夥兒	you2 huor3
油星水點兒	you2 xing1 shui3 diar3
油炸豆兒	you2 zha2 dour4
油茶麪兒	you2 cha2 miar4
油點兒	you2 diar3
沿條兒	yan2 tiaor2
沿邊兒	yan2 biar1
泥孩兒	ni2 har2
泥胎兒	ni2 tar1
泥點兒	ni2 diar3
注兒	zhur4
洋畫兒	yang2 huar4
洋馬兒	yang2 mar3
洞兒	dongr4
活兒	huor2
活扣兒	huo2 kour4
活門兒	huo2 mer2
活頭兒	huo2 tour5
流沿兒	liu2 yar2
浪樣兒	lang4 yangr4
海底猴兒	hai3 di3 hour2
消息兒	xiao1 xier5
淚人兒	lei4 rer2
混混兒	hun4 huer5
混球兒	hun4 qiur2
清鍋兒冷竈	qing1 guor1 leng3 zao4
渣兒	zhar1
渣兒	zhar3
湊趣兒	cou4 quer4
準兒	zhuer3
準譜兒	zhun3 pur3
溜兒	liur4
溜溜兒	liu1 liur1
溜縫兒	liu4 fengr4
溜邊兒	liu1 biar1
滋味兒	zi1 wer4
滴溜兒	di1 liur1
滾兒	guer3
滾球兒	gun3 qiur2
滾瓜兒	gun3 guar1
漂兒	piaor1
漆皮兒	qi1 pier2
漏天兒	lou4 tiar1
潑皮破落戶兒	po1 pi2 po4 luo4 hur4
灌精兒	guan4 jingr1
火彩兒	huo3 car3
火盆兒	huo3 per2
火着心兒	huo3 zhe5 xier1
火紙煤兒	huo3 zhi3 mer2
火罐兒	huo3 guar4
火蟲兒	huo3 chongr2
灰櫬兒	hui1 cher4
炊撥兒	chui1 bor1
炒肝兒	chao3 gar1
炒豆兒	chao3 dour4
炕桌兒	kang4 zhuor1
炕琴桌兒	kang4 qin2 zhuor1
炮子兒	pao4 zer3
炮打燈兒	pao4 da3 dengr1
烙鐵印兒	lao4 tie5 yer4
烹勁兒	peng1 jier4
煙袋嘴兒	yan1 dai4 zuer3
煙袋桿兒	yan1 dai4 gar3
照方兒抓	zhao4 fangr1 zhua1
照物兒	zhao4 wur4
熟料材兒	shu2 liao4 car1
熟臉兒	shu2 liar3
熬碴兒	ao1 char2
熬頭兒	ao2 tour5
熱竈上着一把兒	zao4 shang4 zhao2 yi1 bar3
燈草拐棒兒	deng1 cao3 guai3 bangr4
燻魚兒	xun1 yuer2
爆肚兒	bao4 dur3
爛爛兒的	lan4 lar1 de5
爪尖兒	zhao3 jiar1
爬高枝兒	pa2 gao1 zher1
爺們兒	ye2 mer2
爺兒倆	yer2 lia3
爺兒們	yer2 men5
片兒	piar4
片兒湯	piar4 tang1
片兒湯話	piar4 tang1 hua4
牌兒馬	par2 ma3
特兒	ter4
牻牛兒苗	mang2 niur2 miao2
犯刺兒	fan4 cer4
犯牙兒	fan4 yar2
狀本兒	zhuang4 ber3
狗兒	gour3
狗長尾巴尖兒	gou3 zhang3 wei3 ba5 jiar1
狗顛兒	gou3 diar1
猜悶兒	cai1 mer4
猴兒	hour2
猴兒崽子	hour2 zai3 zi5
獨門兒	du2 mer2
王八辮兒	wang2 ba5 biar4
玩兒命	war2 ming4
玩兒完	war2 wan2
玩意兒	wan2 yer4
玩藝兒	wan2 yer4
珠兒粉	zhur1 fen3
琉璃球兒	liu2 li2 qiur2
瓜兒多	guar1 duo1 zer3
瓤兒	rangr2
瓤口兒	rang2 kour5
瓦碴兒	wa3 char2
瓦碴兒	wa3 char4
瓷瓦兒	ci2 war3
甕圈兒	weng4 quar4
甕洞兒	weng4 dongr4
甜話兒	tian2 huar4
生臉兒	sheng1 liar3
生花盆兒	sheng1 hua1 per2
甸兒	diar4
界箍兒	jie4 gur1
畫工兒	hua4 gongr1
畫片兒	hua4 piar4
畫生兒的人	hua4 shengr1 de5 ren2
畫畫兒	hua4 huar4
當兒	dangr1
疙渣兒	ge1 zhar5
病包兒	bing4 baor1
病根兒	bing4 ger1
癮頭兒	yin3 tour2
發個兒	fa1 ger4
白嘴兒	bai2 zuer3
白四喜兒	bai2 si4 xier3
白果兒	bai2 guor3
白玩兒	bai2 war2
白眼兒狼	bai2 yar3 lang2
白臉兒	bai2 liar3
白話舌兒	bai2 hua5 sher2
白豆兒佛	bai2 dour4 fo2
百嗎兒	bai3 mar3
皮夾兒	pi2 jiar1
皮掌兒	pi2 zhangr3
皮板兒	pi2 bar3
皮桶兒	pi2 tongr3
皮筒兒	pi2 tongr3
皮靴兒沒番正	pi2 xuer1 mei2 fan1 zheng4
皮靴頁兒	pi2 xue1 yer4
盆兒	per2
盡場兒	jin4 changr2
盤兒	par2
直心眼兒	zhi2 xin1 yar3
直棍兒	zhi2 guer4
盹兒	duer3
眉兒眼兒	mer2 yar3
看不過眼兒	kan4 bu5 guo4 yar3
看坐兒	kan4 zuor4
看座兒的	kan1 zuor4 de5
眼力見兒	yan3 li4 jiar4
眼犄角兒	yan3 ji1 jiaor3
眼珠兒	yan3 zhur1
眼皮兒雜	yan3 pier2 za2
眼絲兒不見	yan3 ser1 bu2 jian4
着重兒	zhuo2 zhongr4
瞅空兒	chou3 kongr4
瞇盹兒	mi1 duer3
瞧頭兒	qiao2 tour5
瞭高兒	liao4 gaor1
矇着鍋兒	meng1 zhe5 guor1
知古今兒	zhi1 gu3 jier1
矬個兒	cuo2 ger4
短兒	duar3
短撅兒	duan3 juer1
短道兒	duan3 daor4
矮個兒	ai3 ger4
石頭兒	shi2 tour5
石頭子兒	shi2 tou5 zer3
破兒	por4
破爛兒	po4 lar4
破謎兒	po4 mier2
破題兒	po4 tier2
破題兒第一遭	po4 tier2 di4 yi1 zao1
硯水壺兒	yan4 shui3 hur2
硯水滴兒	yan4 shui3 dier1
碎修兒	sui4 xiur1
碎步兒	sui4 bur4
碗足兒	wan3 zur2
碧眼兒	bi4 yar3
碰頭好兒	peng4 tou2 haor3
碴兒	char2
磕碰兒	ke1 pengr5
磕頭兒	ke1 tour2
磨勁兒	mo2 jier4
磨官兒	mo4 guar5
礤牀兒	ca3 chuangr2
神紙馬兒	shen2 zhi3 mar3
禁節兒	jin4 jier2
禮路兒	li3 lur4
秤鉤兒打釘	cheng4 gour1 da3 ding1
稿兒	gaor3
穗兒	suer4
穴寶蓋兒	xue4 bao3 gar4
空兒	kongr1
空兒	kongr4
空格兒	kong4 ger2
空當兒	kong4 dangr4
空肚兒	kong4 dur4
空身人兒	kong1 shen1 rer2
穿袍兒的	chuan1 paor2 de5
窗兒眼吹喇叭	chuangr1 yan3 chui1 la3 ba5
窗戶眼兒	chuang1 hu5 yar3
窟窿眼兒	ku1 long5 yar3
窩兒	wor1
窯姐兒	yao2 jier3
窯黑兒	yao2 her1
窳兒	yuer3
立人兒	li4 rer2
立字兒	li4 zer4
立手兒	li4 shour3
站乾岸兒	zhan4 gan1 ar4
竹批兒	zhu2 pier1
竹籃兒打水	zhu2 lar2 da3 shui3
笑話兒	xiao4 huar4
符兒	fur2
筆頭兒	bi3 tour2
等一會兒	deng3 yi4 huer3
筋節兒	jin1 jier5
答兒	dar1
答岔兒	da1 char4
答碴兒	da1 char2
箍兒	gur1
算盤子兒	suan4 pan2 zer3
算計兒	suan4 jier5
管人弔腳兒事	guan3 ren2 diao4 jiaor3 shi4
節骨眼兒	jie2 gu5 yar3
篇兒	piar1
簍兒	lour3
粉團兒	fen3 tuar2
粉團兒似的	fen3 tuar2 si4 de5
粒兒	lier4
糖人兒	tang2 rer2
糟老頭兒	zao1 lao3 tour2
糟錢兒	zao1 qiar2
紅臉兒漢	hong2 liar3 han4
紅角兒	hong2 juer2
紐襻兒	niu3 par4
紙幡兒	zhi3 far1
紙捻兒	zhi3 niar3
紙撚兒	zhi3 niar3
紙標兒	zhi3 biaor1
細兒	xier4
細篾兒	xi4 mier4
絮鍋兒	xu4 guor1
綑兒	kuer3
經板兒	jing1 bar3
綜鼻兒	zong4 bier2
綠豆皮兒	lv4 dou4 pier2
綰角兒	wan3 jiaor3
綰角兒夫妻	wan3 jiaor3 fu1 qi1
綻口兒	zhan4 kour3
綽着經兒	chuo4 zhe5 jingr1
緊溜兒的	jin3 liur1 de5
緊箍兒	jin3 gur1
緊身兒	jin3 sher1
線板兒	xian4 bar3
線腳兒	xian4 jiaor3
線軸兒	xian4 zhour2
線頭兒	xian4 tour2
縫兒	fengr4
縱心兒	zong4 xier1
繃勁兒	beng3 jier4
繞彎兒	rao4 war1
繞遠兒	rao4 yuar3
繡帖兒	xiu4 tier3
繫捻兒	ji4 niar3
繭兒	jiar3
纂兒	zuar3
纏髻兒	chan2 jier4
缸兒	gangr1
罅剌兒	xia4 lar1
羅圈兒揖	luo2 quar1 yi1
羅圈兒架	luo2 quar1 jia4
羊兒風	yangr2 feng1
美人兒	mei3 rer2
美人燈兒	mei3 ren2 dengr1
羔兒	gaor1
羔兒酒	gaor1 jiu3
翅兒	cher4
翻毛兒	fan1 maor2
翻過兒	fan1 guor4
老一門兒	lao3 yi4 mer2
老八板兒	lao3 ba1 bar3
老公嘴兒	lao3 gong5 zuer3
老哥兒倆	lao3 ger1 lia3
老哥兒們	lao3 ger1 men5
老大兒	lao3 dar4
老姐妹兒	lao3 jie3 mer5
老娘兒	lao3 niar2
老婆兒	lao3 por2
老家兒	lao3 jiar1
老底兒	lao3 dier3
老根人家兒	lao3 gen5 ren2 jiar1
老橛話兒	lao3 jue2 huar4
老滿兒	lao3 mar3
老營兒	lao3 yingr2
老爺兒	lao3 yer2
老生兒	lao3 shengr5
老祖兒	lao3 zur3
老虎攤兒	lao3 hu5 tar1
老西兒	lao3 xier1
老走道兒	lao3 zou3 daor5
老醃兒	lao3 yar1
老頭兒	lao3 tour2
老鼠尾巴生瘡兒	lao3 shu3 wei3 ba5 sheng1 chuangr1
耍像兒	shua3 xiangr4
耍猴兒	shua3 hour2
耳刀兒	er3 daor1
耳挖勺兒	er3 wa1 shaor2
耳朵眼兒	er3 duo5 yar3
耳簷兒當不的胡帽	er3 yar2 dang4 bu5 de5 hu2 mao4
聽氣兒	ting1 qier4
聽頭兒	ting1 tour5
肉棗兒	rou4 zaor3
肉眼泡兒	rou4 yan3 paor1
肋巴扇兒	lei4 ba5 shar4
肐膊兒往外撇	ge1 bor5 wang3 wai4 pie3
肚兒	dur4
肚兒裏有勾當	dur4 li3 you3 gou4 dang5
肚囊兒	du4 nangr2
股兒	gur3
肩膀兒寬	jian1 bangr3 kuan1
肯心兒	ken3 xier1
胎兒	tar1
胖墩兒	pang4 duer1
胖姑娘坐小轎兒	pang4 gu1 niang5 zuo4 xiao3 jiaor4
胖子也不是一口兒吃的	pang4 zi5 ye3 bu4 shi4 yi1 kour3 chi1 de5
胗肝兒	zhen1 gar5
胯骨軸兒	kua4 gu3 zhour2
脖兒枴	bor2 guai3
脖頸兒	bo2 gengr3
脫稍兒	tuo1 shaor1
腦兒	naor3
腦瓜頂兒	nao3 gua1 dingr3
腦瓢兒	nao3 piaor2
腦門兒錢	nao3 mer2 qian2
腰板兒	yao1 bar3
腰窩兒	yao1 wor1
腰站兒	yao1 zhar4
腳底板兒	jiao3 di3 bar3
腳樣兒	jiao3 yangr4
膩抹兒	ni4 mor3
臁兒骨	liar2 gu3
臉兒	liar3
臉盤兒	lian3 par2
臉膛兒	lian3 tangr2
臥人兒	wo4 rer2
臥兔兒	wo4 tur4
臥果兒	wo4 guor3
自個兒	zi4 ger3
色數兒	shai3 shur4
花兒洞子	huar1 dong4 zi5
花兒針	huar1 zhen1
花扦兒	hua1 qiar1
花枝兒	hua1 zher1
花秧兒	hua1 yangr1
花莛兒	hua1 tingr2
花蔓兒	hua1 mar4
苗兒	miaor2
苦活兒	ku3 huor2
茶攤兒	cha2 tar1
草刺兒	cao3 cer4
草字頭兒	cao3 zi4 tour2
草帚兒	cao3 zhour3
草底兒	cao3 dier3
草標兒	cao3 biaor1
草頭方兒	cao3 tou2 fangr1
莊稼活兒	zhuang1 jia5 huor2
菸嘴兒	yan1 zuer3
萌兒	mengr2
萬兒	war4
萬兒八千	war4 ba1 qian1
落個直過兒	luo4 ge5 zhi2 guor4
落兒	laor4
落坎兒	luo4 kar3
落禮兒	la4 lier3
葉兒	yer4
葫蘆兒	hu2 lur5
蒙古兒	meng2 gur3
蒜瓣兒	suan4 bar4
蒲包兒	pu2 baor1
蒲墩兒	pu2 duer1
蒲甸兒	pu2 diar4
蓋盅兒	gai4 zhongr1
蓋鍋煮皮兒	 gai4 guo1 zhu3 pier2
蔥白兒	cong1 bar2
藏悶兒	cang2 mer1
藏矇歌兒	cang2 meng2 ger1
藏貓兒	cang2 maor1
藕棒兒	ou3 bangr4
藕絲兒	ou3 ser1
藕零兒	ou3 lingr2
藥麪兒	yao4 miar4
蘭花末兒	lan2 hua1 mor4
虎兒	hur3
號坎兒	hao4 kar3
虼蚪兒	ge4 dour3
蛐蛐兒	qu1 quer5
蛐蛐兒罩子	qu1 quer5 zhao4 zi5
蛐蛐罐兒	qu1 qu5 guar4
蜂窩兒	feng1 wor1
蜜罐兒	mi4 guar4
蝦蟆促織兒	ha2 ma5 cu4 zher1
螺螄轉兒	luo2 si5 zhuar4
蟈蟈兒	guo1 guor5
蟲兒	chongr2
蟲字旁兒	chong2 zi4 pangr2
蠟芯兒	la4 xier4
蠟頭兒	la4 tour2
蠶兒似的	car2 si4 de5
行鬼路兒	xing2 gui3 lur4
行鬼頭兒	xing2 gui3 tour2
街面兒	jie1 miar4
衝盹兒	chong4 duer3
衣補兒	yi1 bur3
衫兒	shar1
袖搭兒	xiu4 dar1
褪套兒	tun4 taor4
褲叉兒	ku4 char3
襯兒	cher4
襯鋪兒	chen4 pur1
西瓜子兒	xi1 gua5 zer3
覓貼兒	mi4 tier1
角兒	jiaor3
角兒	juer2
解扣兒	jie3 kour4
記事兒	ji4 sher4
訛詞兒	e2 cer2
詐眼兒	zha4 yar3
話兒	huar4
話口兒	hua4 kour3
話拉兒	hua4 lar1
話茬兒	hua4 char2
語兒	yuer3
說合了蓋兒了	shuo1 he2 le5 gar4 le5
說太平話兒	shuo1 tai4 ping2 huar4
說着玩兒	shuo1 zhe5 war2
說章兒	shuo1 zhangr1
說話兒	shuo1 huar4
說話答禮兒	shuo1 hua4 da2 lier3
說鐵騎兒	shuo1 tie3 jir4
說閒話兒	shuo1 xian2 huar4
說頭兒	shuo1 tour5
調兒	diaor4
調子曰兒	diao4 zi3 yuer1
調書帶兒	diao4 shu1 dar4
調書擔兒	diao4 shu1 dar4
調猴兒	diao4 hour2
謎兒	mier2
講盤兒	jiang3 par2
譜兒	pur3
護禿兒	hu4 tur1
變法兒	bian4 far1
豆兒大	dour4 da4
豆嘴兒	dou4 zuer3
貓兒	maor1
貓兒洗臉	maor1 xi3 lian3
貓兒眼	maor1 yan3
貓兒臉	maor1 lian3
貓兒見了魚鮮飯	maor1 jian4 le5 yu2 xian1 fan4
貓兒頭	maor1 tou2
貓兒頭差事	maor1 tou2 chai1 shi4
貓兒頭生活	maor1 tou2 sheng1 huo2
貓兒食	maor1 shi2
貨郎兒	huo4 langr2
貨郎擔兒	huo4 lang2 dar4
買賣三兒	mai3 mai4 sar1
貼兒	tier1
賊話兒	zei2 huar4
賣串兒	mai4 chuar4
賣呆兒	mai4 dar1
賣嚷嚷兒	mai4 rang1 rangr1
賣瓜子兒開廂子打嚏噴	mai4 gua1 zer3 kai1 xiang1 zi5 da3 ti4 fen5
賴詞兒	lai4 cer2
走了大褶兒	zou3 le5 da4 zher2
走味兒	zou3 wer4
走神兒	zou3 sher2
走道兒	zou3 daor4
走黑道兒的	zou3 hei1 daor4 de5
起根兒	qi3 ger1
起水頭兒	qi3 shui3 tour2
趁亮兒	chen4 liangr4
趁腳兒蹻	chen4 jiaor3 qiao1
趁貨兒	chen4 huor4
趄坡兒	qie4 por1
趕一會兒	gan3 yi4 huer3
趕情兒	gan3 qingr2
趕明兒	gan3 mingr2
趕活兒	gan3 huor2
趕熱腳兒	gan3 re4 jiaor3
趕空兒	gan3 kongr4
趕網兒	gan3 wangr3
趕趟兒	gan3 tangr4
趣兒	quer4
趿拉兒	ta1 lar5
趿拉板兒	ta1 la5 bar3
跑兒	paor3
跑堂兒的	pao3 tangr2 de5
跑道兒	pao3 daor4
跟兒	ger1
跟尾兒	gen1 wer3
跨院兒	kua4 yuar4
路兒	lur4
跳咯噔兒	tiao4 ge2 dengr1
跳枝兒	tiao4 zher1
踏小板凳兒糊險道神	ta4 xiao3 ban3 dengr4 hu2 xian3 dao4 shen2
踏浪兒	ta4 langr4
蹇味兒	jian3 wer4
蹋皮兒	ta4 pier2
蹦兒	bengr4
蹦兒亮	bengr4 liang4
蹦蹦兒	beng4 bengr4
蹦蹦兒戲	beng4 bengr4 xi4
蹭兒戲	cengr4 xi4
蹭邊兒	ceng4 biar1
躧一頭兒	xi3 yi1 tour2
身子骨兒	shen1 zi5 gur3
躲猾兒	duo3 huar2
車份兒	che1 fer4
車馬人兒	che1 ma3 rer2
軟磨兒	ruan3 mor2
較勁兒	jiao4 jier4
較真兒	jiao4 zher1
輩輩兒	bei4 ber4
輪兒	luer2
轂轆兒	gu1 lur5
轉花兒	zhuan3 huar1
轉關兒	zhuan3 guar1
轍兒	zher2
辣瓣兒醬	la4 bar4 jiang4
迎頭兒	ying2 tour2
迸兒焦	bengr4 jiao1
迸豆兒	beng4 dour4
退身步兒	tui4 shen1 bur4
逕路兒	jing4 lur4
這些兒	zhe4 xier1
這個當兒	zhe4 ge5 dangr1
這兒	zher4
這塊兒	zhe4 kuar4
這忽兒	zhe4 hur1
這搭兒	zhe4 dar1
這會兒	zhe4 huer3
這溜兒	zhe4 liur4
這當兒	zhe4 dangr1
這陣兒	zhe4 zher4
這麼點兒	zhe4 me5 diar3
逛道兒	guang4 daor4
逞着勁兒	cheng3 zhe5 jier4
連氣兒	lian2 qier4
連軸兒轉	lian2 zhour2 zhuan4
遊遊磨磨兒	you2 you2 mo2 mor2
過了這個村兒	guo4 le5 zhe4 ge5 cuer1 mei2
過兒	guor4
過年兒	guo4 niar2
過節兒	guo4 jier2
過門兒	guo4 mer2
道兒	daor4
道冠兒	dao4 guar1
遛彎兒	liu4 war1
遛早兒	liu4 zaor3
遛食兒	liu4 sher2
避貓鼠兒似的	bi4 mao1 shur3 si4 de5
邊皮兒	bian1 pier2
邏摣兒	luo2 zhar1
那個貓兒不吃腥	na3 ge5 maor1 bu4 chi1 xing1
那兒	nar3
那兒	nar4
那哈兒	na4 har1
那堝兒	na4 guor1
那樁兒	na4 zhuangr1
那溜兒	na4 liur4
那當兒	na4 dangr1
那話兒	na4 huar4
那頭兒	na4 tour2
那麼點兒	 na4 me5 diar3
邪道兒	xie2 daor4
都根主兒	du1 gen1 zhur3
配搭兒	pei4 dar5
酒生兒	jiu3 shengr1
酸甜兒	suan1 tiar2
醉咧咧兒	zui4 lie2 lier5
醉貓兒	zui4 maor1
醭兒	bur2
重樣兒	chong2 yangr4
野意兒	ye3 yer4
野食兒	ye3 sher2
野鷄戴皮帽兒	ye3 ji1 dai4 pi2 maor4
金三事兒	jin1 san1 sher4
金鐘兒	jin1 zhongr1
釕銱兒	liao4 diaor4
針尖兒	zhen1 jiar1
針鼻兒	zhen1 bier2
銀三事挑牙兒	yin2 san1 shi4 tiao1 yar2
銀牌兒	yin2 par2
銅斗兒	tong2 dour3
銅斗兒家緣	tong2 dour3 jia1 yuan2
鋪眼兒	pu4 yar3
鋪蓋捲兒	pu1 gai5 juar3
錢兒癬	qiar2 xian3
錢板兒	qian2 bar3
錯縫兒	cuo4 fengr4
錶殼兒	biao3 ker2
鍋圈兒	guo1 quar1
鏝兒	mar4
鏡支兒	jing4 zher1
鏨口兒	zan4 kour3
鐵貓兒	tie3 maor1
長條兒	chang2 tiaor2
門兒都沒有	mer2 dou1 mei2 you3
門弔兒	men2 diaor4
門插管兒	men2 cha1 guar5
門臉兒	men2 liar3
門鼻兒	men2 bier2
開懷兒	kai1 huar2
開鍋煮餡兒	 kai1 guo1 zhu3 xiar4
開門封兒	kai1 men2 fengr1
閒打牙兒	xian2 da3 yar2
閒盤兒	xian2 par2
閒篇兒	xian2 piar1
閣兒	ger2
閤兒	ger2
闖開臉兒	chuang3 kai1 liar3
關了釘兒	guan1 le5 dingr1
關眼兒	guan1 yar3
阿物兒	a1 wur4
陰着兒	yin1 zhaor1
陰靈兒	yin1 lingr2
隔帛兒	ge2 bor2
隔牆掠見腔兒	ge2 qiang2 lve4 jian4 qiangr1
隔門檻兒	ge2 men2 kar3
隨心草兒	sui2 xin1 caor3
隨溜兒	sui2 liur4
險道神撞着壽星老兒	xian3 dao4 shen2 zhuang4 zhao2 shou4 xing1 laor3
隱身草兒	yin3 shen1 caor3
雀兒揀着旺處飛	quer4 jian3 zhe5 wang4 chu4 fei1
雙棒兒	shuang4 bangr4
雙立人兒	shuang1 li4 rer2
雙響兒	shuang1 xiangr3
雛兒	chur2
雜八湊兒	za2 ba5 cour4
雜合麪兒	za2 he5 miar4
雜拌兒	za2 bar4
雜院兒	za2 yuar4
離不開人兒	li2 bu4 kai1 rer2
離不開手兒	li2 bu4 kai1 shour3
離不開眼兒	li2 bu4 kai1 yar3
離弦走板兒	li2 xian2 zou3 bar3
離格兒	li2 ger2
離股兒	li2 gur3
雨字頭兒	yu3 zi5 tour2
雨珠兒	yu3 zhur1
雲頭兒	yun2 tour2
霜兒	shuangr1
露水珠兒	lu4 shui3 zhur1
露盤兒	lou4 par2
露餡兒	lou4 xiar4
靜靜兒	jing4 jingr4
面子情兒	mian4 zi5 qingr2
靨兒	yar4
靶兒鏡子	bar3 jing4 zi5
音兒	yer1
響動兒	xiang3 dongr4
頂窩兒	ding3 wor1
順口兒	shun4 kour3
順口答音兒	shun4 kou3 da2 yer1
順嘴兒	shun4 zuer3
順條順理兒的	shun4 tiao2 shun4 lier3 de5
順硃兒	shun4 zhur1
順竿兒爬	shun4 gar1 pa2
頑意兒	wan2 yer4
領條兒	ling3 tiaor2
頭一遭兒	tou2 yi1 zaor1
頭兒	tour2
頭把兒	tou2 bar4
頭皮兒薄	tou2 pier2 bao2
頭箍兒	tou2 gur1
頭絮兒	tou2 xver4
頭角兒	tou2 jiaor3
頭醋不酸到底兒薄	tou2 cu4 bu4 suan1 dao4 dier3 bo2
顏色兒	yan2 shar5
風兒	fengr1
風縫兒	feng1 fengr4
飯座兒	fan4 zuor4
飽嗝兒	bao3 ger2
餡兒	xiar4
館兒	guar3
香墩兒	xiang1 duer1
馬尾兒穿豆腐	ma3 wer3 chuan1 dou4 fu5
馬扁兒	ma3 biar3
駒兒隙	juer1 xi4
驢打滾兒	lv2 da5 guer3
驢蹄兒	lv2 tier2
骨朵兒	gu1 duor5
骨都兒	gu1 dur1
骨頭兒	gu2 tour5
髒字兒	zang1 zer4
體己信兒	ti3 ji5 xier4
體樣兒	ti3 yangr4
高個兒	gao1 ger4
高岡兒	gao1 gangr3
高揚臉兒	gao1 yang2 liar3
高末兒	gao1 mor4
高枝兒	gao1 zher1
高樁兒	gao1 zhuangr1
高着兒	gao1 zhaor1
高粱篾兒	gao1 liang2 mier4
髦兒戲	maor2 xi4
鬙兒	sengr1
鬥葉兒	dou4 yer4
鬧刺兒	nao4 cer4
鬧喪鼓兒	nao4 sang1 gur3
鬧心眼兒	nao4 xin1 yar3
鬧戲兒	nao4 xier4
鬧着玩兒	nao4 zhe5 war2
鬧竿兒	nao4 gar1
鬧騰勁兒	nao4 teng5 jier4
鬮兒	jiur1
鬼靈精兒	gui3 ling2 jingr1
魚兒	yur2
鯽瓜兒	ji4 guar1
鰥棍兒	guan1 guer4
鴇兒	baor3
鴨兒廣梨	yar1 guang3 li2
鴨兒梨	yar1 li2
鴨子兒	ya1 zer3
鴨蛋臉兒	ya1 dan4 liar3
鴨黃兒	ya1 huangr2
鵝蛋臉兒	e2 dan4 liar3
鷹爪毛兒	ying1 zhao3 maor2
麥碴兒	mai4 char2
麪人兒	mian4 rer2
麪坯兒	mian4 pier1
麪碼兒	mian4 mar3
麻了花兒	ma2 le5 huar1
麻經兒	ma2 jingr1
黃毛團兒	huang2 mao2 tuar2
黃腔兒	huang2 qiangr1
黃花女兒	huang2 hua1 nver3
黑母鴰一窩兒	hei1 mu3 gua1 yi1 wor1
黑臉兒	hei1 liar3
黑頭蟲兒不可救	hei1 tou2 chongr2 bu4 ke3 jiu4 jiu4
鼓兒詞	gur3 ci2
鼻兒	bier2
鼻翅兒	bi2 cher4
齆鼻兒	weng4 bier2
齉鼻兒	nang4 bier2
齊打夥兒	qi2 da3 huor3
齊齊結結兒	qi2 qi5 jie1 jier1
齣兒	chur1
龐兒	pangr2
